ACCOUNT_UID;ACCOUNT_NAME;REGION;CHECK_ID;CHECK_TITLE;STATUS;STATUS_EXTENDED;SEVERITY;SERVICE_NAME;RESOURCE_UID;RESOURCE_NAME;COMPLIANCE;TIMESTAMP
12345678901;Account 12345678901;us-east-1;check-66;Check Title check-66;INFO;Status extended info;critical;iam;arn:aws:iam::12345678901:user/user-0;user-0;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678901;Account 12345678901;us-east-1;check-65;Check Title check-65;PASS;Status extended info;high;iam;arn:aws:iam::12345678901:user/user-1;user-1;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678907;Account 12345678907;us-east-1;check-37;Check Title check-37;INFO;Status extended info;high;iam;arn:aws:iam::12345678907:user/user-2;user-2;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678903;Account 12345678903;us-east-1;check-80;Check Title check-80;FAIL;Status extended info;medium;iam;arn:aws:iam::12345678903:user/user-3;user-3;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678900;Account 12345678900;us-east-1;check-18;Check Title check-18;PASS;Status extended info;critical;iam;arn:aws:iam::12345678900:user/user-4;user-4;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678901;Account 12345678901;us-east-1;check-74;Check Title check-74;INFO;Status extended info;high;iam;arn:aws:iam::12345678901:user/user-5;user-5;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678903;Account 12345678903;us-east-1;check-60;Check Title check-60;INFO;Status extended info;high;iam;arn:aws:iam::12345678903:user/user-6;user-6;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678909;Account 12345678909;us-east-1;check-39;Check Title check-39;INFO;Status extended info;medium;iam;arn:aws:iam::12345678909:user/user-7;user-7;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678902;Account 12345678902;us-east-1;check-91;Check Title check-91;FAIL;Status extended info;medium;iam;arn:aws:iam::12345678902:user/user-8;user-8;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678902;Account 12345678902;us-east-1;check-41;Check Title check-41;PASS;Status extended info;medium;iam;arn:aws:iam::12345678902:user/user-9;user-9;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678909;Account 12345678909;us-east-1;check-20;Check Title check-20;FAIL;Status extended info;low;iam;arn:aws:iam::12345678909:user/user-10;user-10;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678906;Account 12345678906;us-east-1;check-70;Check Title check-70;PASS;Status extended info;low;iam;arn:aws:iam::12345678906:user/user-11;user-11;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678902;Account 12345678902;us-east-1;check-49;Check Title check-49;PASS;Status extended info;low;iam;arn:aws:iam::12345678902:user/user-12;user-12;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678904;Account 12345678904;us-east-1;check-70;Check Title check-70;FAIL;Status extended info;medium;iam;arn:aws:iam::12345678904:user/user-13;user-13;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678907;Account 12345678907;us-east-1;check-37;Check Title check-37;INFO;Status extended info;critical;iam;arn:aws:iam::12345678907:user/user-14;user-14;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678905;Account 12345678905;us-east-1;check-97;Check Title check-97;INFO;Status extended info;medium;iam;arn:aws:iam::12345678905:user/user-15;user-15;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678905;Account 12345678905;us-east-1;check-55;Check Title check-55;PASS;Status extended info;critical;iam;arn:aws:iam::12345678905:user/user-16;user-16;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678907;Account 12345678907;us-east-1;check-56;Check Title check-56;INFO;Status extended info;critical;iam;arn:aws:iam::12345678907:user/user-17;user-17;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678900;Account 12345678900;us-east-1;check-4;Check Title check-4;PASS;Status extended info;medium;iam;arn:aws:iam::12345678900:user/user-18;user-18;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678904;Account 12345678904;us-east-1;check-10;Check Title check-10;FAIL;Status extended info;medium;iam;arn:aws:iam::12345678904:user/user-19;user-19;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678905;Account 12345678905;us-east-1;check-82;Check Title check-82;PASS;Status extended info;medium;iam;arn:aws:iam::12345678905:user/user-20;user-20;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678900;Account 12345678900;us-east-1;check-31;Check Title check-31;FAIL;Status extended info;medium;iam;arn:aws:iam::12345678900:user/user-21;user-21;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678907;Account 12345678907;us-east-1;check-24;Check Title check-24;INFO;Status extended info;critical;iam;arn:aws:iam::12345678907:user/user-22;user-22;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678903;Account 12345678903;us-east-1;check-13;Check Title check-13;PASS;Status extended info;low;iam;arn:aws:iam::12345678903:user/user-23;user-23;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678908;Account 12345678908;us-east-1;check-73;Check Title check-73;FAIL;Status extended info;medium;iam;arn:aws:iam::12345678908:user/user-24;user-24;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678909;Account 12345678909;us-east-1;check-47;Check Title check-47;PASS;Status extended info;medium;iam;arn:aws:iam::12345678909:user/user-25;user-25;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678900;Account 12345678900;us-east-1;check-46;Check Title check-46;INFO;Status extended info;low;iam;arn:aws:iam::12345678900:user/user-26;user-26;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678908;Account 12345678908;us-east-1;check-34;Check Title check-34;FAIL;Status extended info;medium;iam;arn:aws:iam::12345678908:user/user-27;user-27;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678903;Account 12345678903;us-east-1;check-87;Check Title check-87;FAIL;Status extended info;medium;iam;arn:aws:iam::12345678903:user/user-28;user-28;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678906;Account 12345678906;us-east-1;check-11;Check Title check-11;PASS;Status extended info;medium;iam;arn:aws:iam::12345678906:user/user-29;user-29;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678908;Account 12345678908;us-east-1;check-85;Check Title check-85;INFO;Status extended info;low;iam;arn:aws:iam::12345678908:user/user-30;user-30;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678901;Account 12345678901;us-east-1;check-32;Check Title check-32;PASS;Status extended info;critical;iam;arn:aws:iam::12345678901:user/user-31;user-31;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678905;Account 12345678905;us-east-1;check-27;Check Title check-27;FAIL;Status extended info;critical;iam;arn:aws:iam::12345678905:user/user-32;user-32;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678905;Account 12345678905;us-east-1;check-49;Check Title check-49;FAIL;Status extended info;high;iam;arn:aws:iam::12345678905:user/user-33;user-33;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678902;Account 12345678902;us-east-1;check-87;Check Title check-87;PASS;Status extended info;critical;iam;arn:aws:iam::12345678902:user/user-34;user-34;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678901;Account 12345678901;us-east-1;check-92;Check Title check-92;FAIL;Status extended info;high;iam;arn:aws:iam::12345678901:user/user-35;user-35;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678905;Account 12345678905;us-east-1;check-12;Check Title check-12;FAIL;Status extended info;high;iam;arn:aws:iam::12345678905:user/user-36;user-36;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678908;Account 12345678908;us-east-1;check-81;Check Title check-81;FAIL;Status extended info;critical;iam;arn:aws:iam::12345678908:user/user-37;user-37;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678901;Account 12345678901;us-east-1;check-15;Check Title check-15;INFO;Status extended info;critical;iam;arn:aws:iam::12345678901:user/user-38;user-38;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678909;Account 12345678909;us-east-1;check-30;Check Title check-30;INFO;Status extended info;low;iam;arn:aws:iam::12345678909:user/user-39;user-39;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678907;Account 12345678907;us-east-1;check-19;Check Title check-19;INFO;Status extended info;critical;iam;arn:aws:iam::12345678907:user/user-40;user-40;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678903;Account 12345678903;us-east-1;check-80;Check Title check-80;INFO;Status extended info;high;iam;arn:aws:iam::12345678903:user/user-41;user-41;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678906;Account 12345678906;us-east-1;check-54;Check Title check-54;PASS;Status extended info;medium;iam;arn:aws:iam::12345678906:user/user-42;user-42;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678907;Account 12345678907;us-east-1;check-44;Check Title check-44;INFO;Status extended info;low;iam;arn:aws:iam::12345678907:user/user-43;user-43;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678907;Account 12345678907;us-east-1;check-94;Check Title check-94;INFO;Status extended info;low;iam;arn:aws:iam::12345678907:user/user-44;user-44;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678900;Account 12345678900;us-east-1;check-5;Check Title check-5;INFO;Status extended info;critical;iam;arn:aws:iam::12345678900:user/user-45;user-45;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678907;Account 12345678907;us-east-1;check-22;Check Title check-22;PASS;Status extended info;high;iam;arn:aws:iam::12345678907:user/user-46;user-46;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678900;Account 12345678900;us-east-1;check-52;Check Title check-52;PASS;Status extended info;critical;iam;arn:aws:iam::12345678900:user/user-47;user-47;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678903;Account 12345678903;us-east-1;check-72;Check Title check-72;FAIL;Status extended info;low;iam;arn:aws:iam::12345678903:user/user-48;user-48;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678906;Account 12345678906;us-east-1;check-99;Check Title check-99;PASS;Status extended info;low;iam;arn:aws:iam::12345678906:user/user-49;user-49;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678902;Account 12345678902;us-east-1;check-46;Check Title check-46;INFO;Status extended info;high;iam;arn:aws:iam::12345678902:user/user-50;user-50;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678905;Account 12345678905;us-east-1;check-99;Check Title check-99;FAIL;Status extended info;low;iam;arn:aws:iam::12345678905:user/user-51;user-51;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678908;Account 12345678908;us-east-1;check-81;Check Title check-81;PASS;Status extended info;critical;iam;arn:aws:iam::12345678908:user/user-52;user-52;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678908;Account 12345678908;us-east-1;check-30;Check Title check-30;FAIL;Status extended info;critical;iam;arn:aws:iam::12345678908:user/user-53;user-53;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678903;Account 12345678903;us-east-1;check-7;Check Title check-7;PASS;Status extended info;low;iam;arn:aws:iam::12345678903:user/user-54;user-54;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678906;Account 12345678906;us-east-1;check-94;Check Title check-94;INFO;Status extended info;critical;iam;arn:aws:iam::12345678906:user/user-55;user-55;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678901;Account 12345678901;us-east-1;check-38;Check Title check-38;FAIL;Status extended info;low;iam;arn:aws:iam::12345678901:user/user-56;user-56;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678904;Account 12345678904;us-east-1;check-21;Check Title check-21;PASS;Status extended info;critical;iam;arn:aws:iam::12345678904:user/user-57;user-57;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678905;Account 12345678905;us-east-1;check-69;Check Title check-69;INFO;Status extended info;medium;iam;arn:aws:iam::12345678905:user/user-58;user-58;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678906;Account 12345678906;us-east-1;check-93;Check Title check-93;PASS;Status extended info;high;iam;arn:aws:iam::12345678906:user/user-59;user-59;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678903;Account 12345678903;us-east-1;check-71;Check Title check-71;INFO;Status extended info;low;iam;arn:aws:iam::12345678903:user/user-60;user-60;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678903;Account 12345678903;us-east-1;check-48;Check Title check-48;FAIL;Status extended info;medium;iam;arn:aws:iam::12345678903:user/user-61;user-61;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678906;Account 12345678906;us-east-1;check-85;Check Title check-85;FAIL;Status extended info;high;iam;arn:aws:iam::12345678906:user/user-62;user-62;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678906;Account 12345678906;us-east-1;check-74;Check Title check-74;FAIL;Status extended info;high;iam;arn:aws:iam::12345678906:user/user-63;user-63;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678903;Account 12345678903;us-east-1;check-18;Check Title check-18;INFO;Status extended info;critical;iam;arn:aws:iam::12345678903:user/user-64;user-64;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678902;Account 12345678902;us-east-1;check-44;Check Title check-44;INFO;Status extended info;critical;iam;arn:aws:iam::12345678902:user/user-65;user-65;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678900;Account 12345678900;us-east-1;check-85;Check Title check-85;FAIL;Status extended info;medium;iam;arn:aws:iam::12345678900:user/user-66;user-66;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678903;Account 12345678903;us-east-1;check-64;Check Title check-64;FAIL;Status extended info;medium;iam;arn:aws:iam::12345678903:user/user-67;user-67;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678909;Account 12345678909;us-east-1;check-96;Check Title check-96;FAIL;Status extended info;critical;iam;arn:aws:iam::12345678909:user/user-68;user-68;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678905;Account 12345678905;us-east-1;check-45;Check Title check-45;PASS;Status extended info;critical;iam;arn:aws:iam::12345678905:user/user-69;user-69;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678906;Account 12345678906;us-east-1;check-25;Check Title check-25;PASS;Status extended info;medium;iam;arn:aws:iam::12345678906:user/user-70;user-70;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678905;Account 12345678905;us-east-1;check-27;Check Title check-27;INFO;Status extended info;medium;iam;arn:aws:iam::12345678905:user/user-71;user-71;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678907;Account 12345678907;us-east-1;check-50;Check Title check-50;INFO;Status extended info;low;iam;arn:aws:iam::12345678907:user/user-72;user-72;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678906;Account 12345678906;us-east-1;check-12;Check Title check-12;INFO;Status extended info;critical;iam;arn:aws:iam::12345678906:user/user-73;user-73;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678903;Account 12345678903;us-east-1;check-15;Check Title check-15;INFO;Status extended info;high;iam;arn:aws:iam::12345678903:user/user-74;user-74;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678907;Account 12345678907;us-east-1;check-70;Check Title check-70;INFO;Status extended info;medium;iam;arn:aws:iam::12345678907:user/user-75;user-75;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678907;Account 12345678907;us-east-1;check-31;Check Title check-31;INFO;Status extended info;critical;iam;arn:aws:iam::12345678907:user/user-76;user-76;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678901;Account 12345678901;us-east-1;check-33;Check Title check-33;FAIL;Status extended info;low;iam;arn:aws:iam::12345678901:user/user-77;user-77;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678900;Account 12345678900;us-east-1;check-66;Check Title check-66;INFO;Status extended info;critical;iam;arn:aws:iam::12345678900:user/user-78;user-78;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678902;Account 12345678902;us-east-1;check-37;Check Title check-37;INFO;Status extended info;critical;iam;arn:aws:iam::12345678902:user/user-79;user-79;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
12345678907;Account 12345678907;us-east-1;check-16;Check Title check-16;PASS;Status extended info;medium;iam;arn:aws:iam::12345678907:user/user-80;user-80;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678904;Account 12345678904;us-east-1;check-100;Check Title check-100;INFO;Status extended info;medium;iam;arn:aws:iam::12345678904:user/user-81;user-81;HIPAA: 164.308;2025-01-01T12:00:00Z
12345678904;Account 12345678904;us-east-1;check-26;Check Title check-26;INFO;Status extended info;high;iam;arn:aws:iam::12345678904:user/user-82;user-82;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678903;Account 12345678903;us-east-1;check-12;Check Title check-12;PASS;Status extended info;low;iam;arn:aws:iam::12345678903:user/user-83;user-83;CIS-1.0: 1.1;2025-01-01T12:00:00Z
12345678908;Account 12345678908;us-east-1;check-69;Check Title check-69;PASS;Status extended info;low;iam;arn:aws:iam::12345678908:user/user-84;user-84;PCI-3.2.1: 1.1.1;2025-01-01T12:00:00Z
